#Instance: 
25 80 50 1.0
1 2 91.000000 139.000000
1 6 97.000000 286.000000
2 1 95.000000 105.000000
2 3 82.000000 141.000000
2 7 92.000000 153.000000
3 2 85.000000 355.000000
3 4 95.000000 418.000000
3 8 97.000000 292.000000
4 3 93.000000 178.000000
4 5 83.000000 145.000000
4 9 85.000000 195.000000
5 4 99.000000 144.000000
5 10 87.000000 113.000000
6 1 80.000000 130.000000
6 7 85.000000 485.000000
6 11 98.000000 314.000000
7 2 88.000000 257.000000
7 6 93.000000 445.000000
7 8 84.000000 427.000000
7 12 85.000000 226.000000
8 3 81.000000 352.000000
8 7 96.000000 160.000000
8 9 96.000000 286.000000
8 13 88.000000 284.000000
9 4 87.000000 197.000000
9 8 98.000000 388.000000
9 10 84.000000 212.000000
9 14 97.000000 421.000000
10 5 100.000000 271.000000
10 9 83.000000 285.000000
10 15 99.000000 219.000000
11 6 94.000000 416.000000
11 12 88.000000 155.000000
11 16 86.000000 400.000000
12 7 96.000000 306.000000
12 11 83.000000 303.000000
12 13 98.000000 379.000000
12 17 85.000000 453.000000
13 8 93.000000 235.000000
13 12 86.000000 270.000000
13 14 93.000000 303.000000
13 18 94.000000 384.000000
14 9 82.000000 267.000000
14 13 96.000000 385.000000
14 15 91.000000 441.000000
14 19 88.000000 153.000000
15 10 92.000000 380.000000
15 14 98.000000 322.000000
15 20 83.000000 252.000000
16 11 82.000000 335.000000
16 17 88.000000 475.000000
16 21 94.000000 259.000000
17 12 96.000000 185.000000
17 16 94.000000 197.000000
17 18 80.000000 284.000000
17 22 94.000000 284.000000
18 13 86.000000 230.000000
18 17 100.000000 492.000000
18 19 100.000000 294.000000
18 23 94.000000 299.000000
19 14 82.000000 145.000000
19 18 89.000000 454.000000
19 20 98.000000 399.000000
19 24 88.000000 172.000000
20 15 100.000000 408.000000
20 19 89.000000 247.000000
20 25 81.000000 387.000000
21 16 92.000000 99.000000
21 22 98.000000 273.000000
22 17 92.000000 330.000000
22 21 92.000000 187.000000
22 23 92.000000 134.000000
23 18 96.000000 377.000000
23 22 94.000000 206.000000
23 24 99.000000 377.000000
24 19 97.000000 472.000000
24 23 97.000000 281.000000
24 25 92.000000 406.000000
25 20 89.000000 464.000000
25 24 95.000000 212.000000
18 15 69.000000
6 1 79.000000
11 21 20.000000
7 15 51.000000
4 21 84.000000
20 10 42.000000
12 10 55.000000
24 11 33.000000
11 25 63.000000
20 21 87.000000
19 12 13.000000
14 10 18.000000
18 11 16.000000
18 23 58.000000
18 4 85.000000
10 23 75.000000
6 3 93.000000
21 17 82.000000
1 16 43.000000
2 18 97.000000
18 25 44.000000
23 16 55.000000
9 7 80.000000
23 4 79.000000
2 21 54.000000
20 24 85.000000
18 3 55.000000
12 8 42.000000
15 3 11.000000
6 19 36.000000
7 11 29.000000
24 25 59.000000
10 8 86.000000
3 5 91.000000
1 19 16.000000
22 7 78.000000
7 1 30.000000
6 20 33.000000
22 18 15.000000
7 17 69.000000
25 9 51.000000
20 8 57.000000
6 15 65.000000
8 17 60.000000
8 13 81.000000
13 23 78.000000
22 16 59.000000
17 21 38.000000
11 6 38.000000
23 5 96.000000

